"nomCru"	"country_label"	"subregion_label"	"area_label"	"label"	"millesime"	"volume"	"date_achat"	"prix"	"cote"	"quantite_courante"	"quantite_achat"	"garde_min"	"garde_max"	"garde_optimum"	"suggestion"	"comment"	"lieu_achat"	"canal_vente"
"Château Smith Haut Lafitte"	"France"	"Bordeaux"	"Pessac-Léognan"	"rouge"	"2005"	"75 cl"	"2010-01-01"	"38.00"	"68.00"	"1"	"1"	"4"	"18"	"4"		"Note : 92. . Cote : 68 (12/2012). . Source : http://www.wine-searcher.com/wine-50041-2005-chateau-smith-haut-lafitte-pessac-leognan-france"	"Leclerc"	"Grande surface"
"Château Smith Haut Lafitte"	"France"	"Bordeaux"	"Pessac-Léognan"	"rouge"	"2012"	"75 cl"	"2016-10-17"	"62.45"	"62.45"	"3"	"3"	"4"	"18"	"4"			"Foire aux vins leclerc"	"Grande surface"
"Château Tour de Pez"	"France"	"Bordeaux"	"Saint Estèphe"	"rouge"	"2011"	"75 cl"	"2013-09-17"	"15.00"	"13.00"	"5"	"6"	"4"	"30"	"4"				"En direct du producteur"
"Château Tour des Gendres - La Gloire de mon Père"	"France"	"Sud-Ouest"	"Côtes de Bergerac"	"rouge"	"2006"	"1,5 l"	"2012-06-01"	"0.00"	"20.00"	"0"	"1"	"3"	"6"	"3"			"Cadeau"	"Cadeau"
"Château Tour Saint Joseph"	"France"	"Bordeaux"	"Haut-Médoc"	"rouge"	"2006"	"75 cl"	"2009-01-17"	"0.00"	"0.00"	"0"	"1"	"5"	"20"	"5"			"Anniversaire"	"Cadeau"
"Christian Bergeret "	"France"	"Bourgogne"	"Chassagne-Montrachet"	"blanc"	"2012"	"75 cl"	"2014-06-25"	"13.00"	"13.00"	"5"	"6"	"3"	"8"	"3"			"Jean-Philippe Delombearde"	"En direct du producteur"
"Clos Philippot"	"France"	"Bordeaux"	"Bordeaux"	"rouge"	"2010"	"75 cl"	"2015-01-01"	"0.00"	"0.00"	"1"	"1"	"3"	"5"	"3"				"Non défini"
"Comte de Senneval, Brut Premium"	"France"	"Champagne"	"Champagne"	"blanc effervescent"	"-"	"75 cl"	"2015-08-28"	"0.00"	"0.00"	"1"	"1"	"0"	"5"	"1"			"Cadeau"	"Cadeau"
"David Duband"	"France"	"Bourgogne"	"Clos de Vougeot"	"rouge"	"2010"	"75 cl"	"2014-01-17"	"140.50"	"140.50"	"1"	"1"	"4"	"20"	"4"			"Cave de Longchamp"	"Cadeau"
"Delas Frères - Chante-Perdrix"	"France"	"Vallée du Rhône"	"Cornas"	"rouge"	"1983"	"75 cl"	"2016-09-25"	"0.00"	"0.00"	"1"	"1"	"4"	"15"	"4"			"Cave papa"	"Cadeau"
"Devois des Agneaux d'Aumelas"	"France"	"Languedoc-Roussillon"	"Côteaux du Languedoc"	"rouge"	"2006"	"75 cl"	"2009-01-17"	"0.00"	"0.00"	"0"	"1"	"2"	"5"	"2"			"Cadeau"	"Cadeau"
"Disznók?, Aszú 6 Puttonyos"	"Hongrie"	"Nord Est"	"Tokaj-Hegyalja ou Tokaji"	"blanc liquoreux"	"1999"	"50 cl"	"2014-11-16"	"39.90"	"49.90"	"5"	"10"	"10"	"35"	"15"			"Vente à la propriété"	"Achat sur Internet"
"Disznók?, Aszú 6 Puttonyos"	"Hongrie"	"Nord Est"	"Tokaj-Hegyalja ou Tokaji"	"blanc liquoreux"	"2002"	"50 cl"	"2015-12-23"	"39.90"	"39.90"	"3"	"6"	"10"	"35"	"15"			"Ventealapropriete.com"	"Achat sur Internet"
"Domaine Alain Assadet"	"France"	"Vallée de la Loire"	"Menetou-Salon"	"rouge"	"2010"	"75 cl"	"2011-01-01"	"0.00"	"0.00"	"0"	"1"	"2"	"5"	"2"			"Cadeau"	"Cadeau"
"Domaine Antoine Arena - Carco"	"France"	"Provence-Corse"	"Patrimonio"	"rouge"	"2013"	"75 cl"	"2016-01-24"	"0.00"	"0.00"	"1"	"1"	"2"	"5"	"2"			"Cadeau Emilie"	"Cadeau"
